Groupe,Nom scientifique,Nom vernaculaire,Nb en 1 jour,Date,Mois numéro,Mois,Département,Commune,Y,X,Observation,Habitat,Coche,Altitude,Observateur
Arachnides,Zilla diodia,Diodie tête de mort,7,01/01/2021,1,01Janvier,Finistère,Île-Tudy,47.848959,-4.165555,Battage,Thym,FAUX,4.615787029266357,Enna
Arachnides,Mangora acalypha,Mangore petite bouteille,7,01/01/2021,1,01Janvier,Finistère,Île-Tudy,47.848959,-4.165555,Battage,Lierre,FAUX,4.615787029266357,Enna
Hémiptères,Pyrrhocoris apterus,Gendarme,7,01/01/2021,1,01Janvier,Finistère,Île-Tudy,47.848959,-4.165555,Sous caillou,Au sol,FAUX,4.615787029266357,Enna
Coléoptères,Chrysolina americana,Chrysomèle du romarin,7,01/01/2021,1,01Janvier,Finistère,Île-Tudy,47.848959,-4.165555,Battage,Romarin,FAUX,4.615787029266357,Enna
Hémiptères,Palomena prasina,Punaise verte,7,01/01/2021,1,01Janvier,Finistère,Île-Tudy,47.848959,-4.165556,Battage,Lierre,FAUX,4.616586685180664,Enna
Coléoptères,Rhyzobius chrysomeloides,Rhizobie des arbres,7,01/01/2021,1,01Janvier,Finistère,Île-Tudy,47.848959,-4.165557,Battage,Lierre,FAUX,4.617386817932129,Enna
Hémiptères,Eupteryx decemnotata,Cicadelle de la menthe,7,01/01/2021,1,01Janvier,Finistère,Île-Tudy,47.848959,-4.165558,Battage,Romarin,VRAI,4.618187427520752,Enna
Hémiptères,Rhaphigaster nebulosa,Punaise nebuleuse,13,04/01/2021,1,01Janvier,Finistère,Combrit,47.857977,-4.165373,Battage,Lierre,FAUX,0.8594372272491455,Enna
Arachnides,Agalenatea redii,Epeire de velours,13,04/01/2021,1,01Janvier,Finistère,Combrit,47.86,-4.164139,Battage,Ajonc,FAUX,2.583268404006958,Enna
Hémiptères,Dolycoris baccarum,Punaise des baies,13,04/01/2021,1,01Janvier,Finistère,Combrit,47.857977,-4.165373,Battage,Cyprès,FAUX,0.8594372272491455,Enna
Coléoptères,Harmonia axiridis,Coccinelle asiatique,13,04/01/2021,1,01Janvier,Finistère,Combrit,47.86,-4.164139,Battage,Cyprès,FAUX,2.583268404006958,Enna
Coléoptères,Chilocorus bipustulatus,Coccinelle des landes,13,04/01/2021,1,01Janvier,Finistère,Combrit,47.86,-4.164139,Battage,Cyprès,FAUX,2.583268404006958,Enna
Coléoptères,Tytthaspis sedecimpunctata,Coccinelle à 16 points,13,04/01/2021,1,01Janvier,Finistère,Combrit,47.85971,-4.164213,Battage,Ronce,FAUX,2.5194308757781982,Enna
Arachnides,Anyphaena accentuata,Anyphène à chevrons,13,04/01/2021,1,01Janvier,Finistère,Combrit,47.85971,-4.164213,Battage,Ajonc,FAUX,2.5194308757781982,Enna
Coléoptères,Harmonia quadripunctata,Cocinelle à 4 points,13,04/01/2021,1,01Janvier,Finistère,Combrit,47.86,-4.164139,Battage,Cyprès,VRAI,2.583268404006958,Enna
Coléoptères,Lindorus lophantae,/,13,04/01/2021,1,01Janvier,Finistère,Combrit,47.86,-4.164139,Battage,Cyprès,FAUX,2.583268404006958,Enna
Coléoptères,Stethorus pusillus,/,13,04/01/2021,1,01Janvier,Finistère,Combrit,47.86,-4.164139,Battage,Cyprès,FAUX,2.583268404006958,Enna
Hémiptères,Corizus hyoscyami,Punaise de la jusquiame,13,04/01/2021,1,01Janvier,Finistère,Combrit,47.86,-4.164139,Battage,Cyprès,FAUX,2.583268404006958,Enna
Hétérocères,Lasiocampa quercus,Bombyx du chêne,13,04/01/2021,1,01Janvier,Finistère,Combrit,47.857977,-4.165373,Battage,Lierre,FAUX,0.8594372272491455,Enna
Hémiptères,Physatocheila dumetorum,/,13,04/01/2021,1,01Janvier,Finistère,Ile Tudy,47.860839,-4.165293,Battage,Saule,VRAI,3.6497621536254883,Enna
