Observateur,Nom scientifique,Y,X,Altitude
Laurent,Hermetia illucens,43.30336355,5.399764711,696
Laurent,Hermetia illucens,43.30336355,5.399764711,697
Laurent,Hermetia illucens,43.30336355,5.399764711,698
Laurent,Hermetia illucens,43.30336355,5.399764711,699
Laurent,Hermetia illucens,43.30336355,5.399764711,700
Laurent,Hermetia illucens,43.30336355,5.399764711,701
Laurent,Hermetia illucens,43.30336355,5.399764711,702
Enna,Zilla diodia,47.848959,-4.165555,4.615787029266357
Enna,Mangora acalypha,47.848959,-4.165555,4.615787029266357
Enna,Pyrrhocoris apterus,47.848959,-4.165555,4.615787029266357
Enna,Chrysolina americana,47.848959,-4.165555,4.615787029266357
Enna,Palomena prasina,47.848959,-4.165556,4.616586685180664
Enna,Rhyzobius chrysomeloides,47.848959,-4.165557,4.617386817932129
Enna,Eupteryx decemnotata,47.848959,-4.165558,4.618187427520752
Enna,Rhaphigaster nebulosa,47.857977,-4.165373,0.8594372272491455
Enna,Agalenatea redii,47.86,-4.164139,2.583268404006958
Enna,Dolycoris baccarum,47.857977,-4.165373,0.8594372272491455
Enna,Harmonia axiridis,47.86,-4.164139,2.583268404006958
Enna,Chilocorus bipustulatus,47.86,-4.164139,2.583268404006958
Enna,Tytthaspis sedecimpunctata,47.85971,-4.164213,2.5194308757781982
Enna,Anyphaena accentuata,47.85971,-4.164213,2.5194308757781982
Enna,Harmonia quadripunctata,47.86,-4.164139,2.583268404006958
Enna,Lindorus lophantae,47.86,-4.164139,2.583268404006958
Enna,Stethorus pusillus,47.86,-4.164139,2.583268404006958
Enna,Corizus hyoscyami,47.86,-4.164139,2.583268404006958
Enna,Lasiocampa quercus,47.857977,-4.165373,0.8594372272491455
Enna,Physatocheila dumetorum,47.860839,-4.165293,3.6497621536254883
Enna,Oenopia conglobata,47.86,-4.164139,2.583268404006958
Enna,Thecla betulae,47.858385,-4.166747,1.7034088373184204
Enna,Gibbaranea gibbosa,47.86,-4.164139,2.583268404006958
Enna,Tuberolachnus salignus,47.860839,-4.165293,3.6497621536254883
Enna,Liguropia juniperi,47.860839,-4.165293,3.6497621536254883
Enna,Physatocheila dumetorum,47.860839,-4.165293,3.6497621536254883
Enna,Platycranus bicolor,47.860839,-4.165293,3.6497621536254883
Enna,Geomyza tripunctata,47.84484,-4.167087,2.784954071044922
Enna,Tephritis vespertina,47.84484,-4.167087,2.784954071044922
Enna,Zygiella x-notata,47.847861,-4.165726,5.147885322570801
Enna,Issus coleoptratus,47.848959,-4.165555,4.615787029266357
Enna,Vanessa atalanta,47.848959,-4.165555,4.615787029266357
Enna,Ascalaphus encadrus,43.629843,3.844633,52.773399353027344
Enna,Gonocerus insidiator,43.91737,3.740518,314.9337463378906
Enna,Gonocerus acuteangulatus,43.91737,3.740518,314.9337463378906
Enna,Oenopia lyncea,43.91737,3.740518,314.9337463378906
Enna,Synophropsis lauri,43.91737,3.740518,314.9337463378906
Enna,Raglius alboacuminatus,43.91737,3.740518,314.9337463378906
Enna,Icius subinermis,43.91737,3.740518,314.9337463378906
Enna,Anacrydium aegyptium,43.522456,3.819826,18.819316864013672
Enna,Acrotylus fischeri,43.522907,3.819151,25.420141220092773
Enna,Crioceris paracenthesis,43.523543,3.819344,25.479190826416016
Enna,Dermacentor marginatus,43.705055,3.558791,48.30875015258789
Enna,Aphantaulax trifasciata,43.70455,3.558763,49.85117721557617
Enna,Nigma walckenaeri,43.70313,3.559959,57.17721176147461
Enna,Deroplia genei,43.704748,3.558835,49.521263122558594
Enna,Dorytomus longimanus,43.705991,3.559196,52.60904312133789
Enna,Tephritis matricariae,43.815504,3.779431,197.13160705566406
Enna,Tephritis divisa,43.815504,3.779431,197.13160705566406
Enna,Tephritis pulchra,43.811605,3.800806,239.15716552734375
Enna,Thaumetopoea pityocampa,43.811605,3.800806,239.15716552734375
Enna,Holcogaster fibulata,43.811605,3.800806,239.15716552734375
Enna,Leptoglossus occidentalis,44.871049,5.390975,1104.41552734375
Enna,Apis mellifera,43.629843,3.844633,52.773399353027344
Enna,Thomisus onustus,43.618462,3.359218,226.9186553955078
Enna,Adalia decempunctata,43.61965,3.359235,237.9788055419922
Enna,Gonocerus juniperi,43.620908,3.359504,244.98834228515625
Enna,Graphopsocus cruciatus,43.618462,3.359218,226.9186553955078
Enna,Acrosternum heegeri,43.619232,3.357421,224.23284912109375
Enna,Kleidocerys ericae,43.620082,3.358531,232.59156799316406
