value,count,pourc_occup,nom_sci,Observateur
NA,NA,NA,NA,NA
1,61,0.1955128205128205,Hermetia illucens,Laurent
2,83,0.266025641025641,Hermetia illucens,Laurent
3,159,0.5096153846153846,Hermetia illucens,Laurent
4,9,0.028846153846153848,Hermetia illucens,Laurent
1,61,0.1955128205128205,Hermetia illucens,Laurent
2,83,0.266025641025641,Hermetia illucens,Laurent
3,159,0.5096153846153846,Hermetia illucens,Laurent
4,9,0.028846153846153848,Hermetia illucens,Laurent
1,61,0.1955128205128205,Hermetia illucens,Laurent
2,83,0.266025641025641,Hermetia illucens,Laurent
3,159,0.5096153846153846,Hermetia illucens,Laurent
4,9,0.028846153846153848,Hermetia illucens,Laurent
1,61,0.1955128205128205,Hermetia illucens,Laurent
2,83,0.266025641025641,Hermetia illucens,Laurent
3,159,0.5096153846153846,Hermetia illucens,Laurent
4,9,0.028846153846153848,Hermetia illucens,Laurent
1,61,0.1955128205128205,Hermetia illucens,Laurent
2,83,0.266025641025641,Hermetia illucens,Laurent
3,159,0.5096153846153846,Hermetia illucens,Laurent
4,9,0.028846153846153848,Hermetia illucens,Laurent
1,61,0.1955128205128205,Hermetia illucens,Laurent
2,83,0.266025641025641,Hermetia illucens,Laurent
3,159,0.5096153846153846,Hermetia illucens,Laurent
4,9,0.028846153846153848,Hermetia illucens,Laurent
1,61,0.1955128205128205,Hermetia illucens,Laurent
2,83,0.266025641025641,Hermetia illucens,Laurent
3,159,0.5096153846153846,Hermetia illucens,Laurent
4,9,0.028846153846153848,Hermetia illucens,Laurent
2,287,0.9169329073482428,Zilla diodia,Enna
3,16,0.051118210862619806,Zilla diodia,Enna
17,10,0.03194888178913738,Zilla diodia,Enna
2,287,0.9169329073482428,Mangora acalypha,Enna
3,16,0.051118210862619806,Mangora acalypha,Enna
17,10,0.03194888178913738,Mangora acalypha,Enna
2,287,0.9169329073482428,Pyrrhocoris apterus,Enna
3,16,0.051118210862619806,Pyrrhocoris apterus,Enna
17,10,0.03194888178913738,Pyrrhocoris apterus,Enna
2,287,0.9169329073482428,Chrysolina americana,Enna
3,16,0.051118210862619806,Chrysolina americana,Enna
17,10,0.03194888178913738,Chrysolina americana,Enna
2,287,0.9169329073482428,Palomena prasina,Enna
3,16,0.051118210862619806,Palomena prasina,Enna
17,10,0.03194888178913738,Palomena prasina,Enna
2,287,0.9169329073482428,Rhyzobius chrysomeloides,Enna
3,16,0.051118210862619806,Rhyzobius chrysomeloides,Enna
17,10,0.03194888178913738,Rhyzobius chrysomeloides,Enna
2,287,0.9169329073482428,Eupteryx decemnotata,Enna
3,16,0.051118210862619806,Eupteryx decemnotata,Enna
17,10,0.03194888178913738,Eupteryx decemnotata,Enna
2,47,0.14873417721518986,Rhaphigaster nebulosa,Enna
3,12,0.0379746835443038,Rhaphigaster nebulosa,Enna
13,149,0.47151898734177217,Rhaphigaster nebulosa,Enna
17,22,0.06962025316455696,Rhaphigaster nebulosa,Enna
19,86,0.2721518987341772,Rhaphigaster nebulosa,Enna
2,35,0.11217948717948718,Agalenatea redii,Enna
3,1,0.003205128205128205,Agalenatea redii,Enna
13,120,0.38461538461538464,Agalenatea redii,Enna
16,53,0.16987179487179488,Agalenatea redii,Enna
19,103,0.3301282051282051,Agalenatea redii,Enna
2,47,0.14873417721518986,Dolycoris baccarum,Enna
3,12,0.0379746835443038,Dolycoris baccarum,Enna
13,149,0.47151898734177217,Dolycoris baccarum,Enna
17,22,0.06962025316455696,Dolycoris baccarum,Enna
19,86,0.2721518987341772,Dolycoris baccarum,Enna
2,35,0.11217948717948718,Harmonia axiridis,Enna
3,1,0.003205128205128205,Harmonia axiridis,Enna
13,120,0.38461538461538464,Harmonia axiridis,Enna
16,53,0.16987179487179488,Harmonia axiridis,Enna
19,103,0.3301282051282051,Harmonia axiridis,Enna
2,35,0.11217948717948718,Chilocorus bipustulatus,Enna
3,1,0.003205128205128205,Chilocorus bipustulatus,Enna
13,120,0.38461538461538464,Chilocorus bipustulatus,Enna
16,53,0.16987179487179488,Chilocorus bipustulatus,Enna
19,103,0.3301282051282051,Chilocorus bipustulatus,Enna
2,32,0.10256410256410256,Tytthaspis sedecimpunctata,Enna
3,1,0.003205128205128205,Tytthaspis sedecimpunctata,Enna
13,149,0.4775641025641026,Tytthaspis sedecimpunctata,Enna
16,20,0.0641025641025641,Tytthaspis sedecimpunctata,Enna
19,110,0.3525641025641026,Tytthaspis sedecimpunctata,Enna
2,32,0.10256410256410256,Anyphaena accentuata,Enna
3,1,0.003205128205128205,Anyphaena accentuata,Enna
13,149,0.4775641025641026,Anyphaena accentuata,Enna
16,20,0.0641025641025641,Anyphaena accentuata,Enna
19,110,0.3525641025641026,Anyphaena accentuata,Enna
2,35,0.11217948717948718,Harmonia quadripunctata,Enna
3,1,0.003205128205128205,Harmonia quadripunctata,Enna
13,120,0.38461538461538464,Harmonia quadripunctata,Enna
